Confidence,Source address,Source User,Virtual System,Description,2/21
4,10.1.173.206,jiahwen,vsys1,Repeatedly visited (108) the same malicious URL proudflex.org/,2020-03-02 10:10:18.647427
Confidence,Source address,Source User,Virtual System,Description,2/22
4,10.1.173.206,bchavez,vsys1,Repeatedly visited (121) the same malicious URL proudflex.org/,2020-03-02 10:11:41.222384
4,10.1.155.230,bingcli,vsys1,Repeatedly visited (358) the same malicious URL foundfax.com/,2020-03-02 10:11:41.222384
4,10.1.173.206,azastrow,vsys1,Repeatedly visited (476) the same malicious URL proudflex.org/,2020-03-02 10:11:41.222384
Confidence,Source address,Source User,Virtual System,Description,2/23
Confidence,Source address,Source User,Virtual System,Description,2/24
4,10.1.140.240,yifpeng,vsys1,Repeatedly visited (114) the same malicious URL stats.macapproduct.com/StatisticsService.svc/V1/JSON/LogEvent,2020-03-02 10:12:43.317168
4,10.1.180.34,nrosengrant,vsys1,Repeatedly visited (297) the same malicious URL cloud-miner.eu/,2020-03-02 10:12:43.317168
Confidence,Source address,Source User,Virtual System,Description,2/25
4,10.1.175.166,dreijerkerk,vsys1,Repeatedly visited (166) the same malicious URL hardyload.com/,2020-03-02 10:13:15.014831
4,10.1.134.205,gialvarado,vsys1,Repeatedly visited (564) the same malicious URL no-stops.biz/wpad.dat?10170e850c63ec197c000c616bd053f021968638,2020-03-02 10:13:15.014831
4,10.1.130.78,jimtiaz,vsys1,Repeatedly visited (1296) the same malicious URL mobiclean.xyz/,2020-03-02 10:13:15.014831
4,10.1.155.247,ndeng,vsys1,Repeatedly visited (164) the same malicious URL roxlock.com/,2020-03-02 10:13:15.014831
4,10.1.253.81,maafarooqi,vsys1,Repeatedly visited (268) the same malicious URL hardyload.com/,2020-03-02 10:13:15.014831
4,10.1.234.166,yanqzhang,vsys1,Repeatedly visited (113) the same malicious URL linkojager.org/,2020-03-02 10:13:15.014831
4,10.1.202.149,kogrewal,vsys1,Repeatedly visited (120) the same malicious URL roxlock.com/,2020-03-02 10:13:15.014831
Confidence,Source address,Source User,Virtual System,Description,2/26
4,10.1.157.136,matiwari@stonybrook.edu,vsys1,Repeatedly visited (323) the same malicious URL linkangood.com/,2020-03-02 10:15:47.544625
4,10.1.167.223,tachang,vsys1,Repeatedly visited (107) the same malicious URL roxlock.com/,2020-03-02 10:15:47.544625
4,10.1.157.21,stonybrook.edu\shhowell,vsys1,Repeatedly visited (255) the same malicious URL roxlock.com/,2020-03-02 10:15:47.544625
4,10.1.251.140,tijiang,vsys1,Repeatedly visited (300) the same malicious URL nonblocks.com/wpad.dat?1f241d7da828d925ba2bd553b785b52417190746,2020-03-02 10:15:47.544625
Confidence,Source address,Source User,Virtual System,Description,2/27
4,10.1.244.137,zashraf,vsys1,Repeatedly visited (365) the same malicious URL magictraps.com/,2020-03-02 10:16:27.770341,2020-03-02 10:16:27.770341
4,10.1.250.252,jienli,vsys1,Repeatedly visited (110) the same malicious URL linkangood.com/,2020-03-02 10:16:27.770341,2020-03-02 10:16:27.770341
4,10.1.252.251,jinakim3,vsys1,Repeatedly visited (129) the same malicious URL nonblocks.com/wpad.dat?1f241d7da828d925ba2bd553b785b52417190746,2020-03-02 10:16:27.770341
4,10.1.185.191,spodduturi,vsys1,Repeatedly visited (116) the same malicious URL dardendly.info/,2020-03-02 10:16:27.770341,2020-03-02 10:16:27.770341
4,10.1.193.117,apdutt,vsys1,Repeatedly visited (151) the same malicious URL differentia.ru/diff.php,2020-03-02 10:16:27.770341,2020-03-02 10:16:27.770341
4,10.1.255.114,safernandes,vsys1,Repeatedly visited (516) the same malicious URL proudflex.org/,2020-03-02 10:16:27.770341,2020-03-02 10:16:27.770341
4,10.1.203.90,hweaver,vsys1,Repeatedly visited (166) the same malicious URL roxlock.com/,2020-03-02 10:16:27.770341,2020-03-02 10:16:27.770341
Confidence,Source address,Source User,Virtual System,Description,2/28
4,10.1.138.122,hanzli,vsys1,Repeatedly visited (878) the same malicious URL linkangood.com/,2020-03-02 10:19:07.047734,2020-03-02 10:19:07.047734
4,10.1.165.13,ehambardzhie,vsys1,Repeatedly visited (191) the same malicious URL is-tracking-link-api-prod.appspot.com/,2020-03-02 10:19:07.047734
4,129.49.15.29,sunysb.edu\ehallerman,vsys1,Repeatedly visited (185) the same malicious URL borpillshop.com/,2020-03-02 10:19:07.047734
Confidence,Source address,Source User,Virtual System,Description,2/29
Confidence,Source address,Source User,Virtual System,Description,3/1
4,10.1.231.164,jedell,vsys1,Repeatedly visited (105) the same malicious URL borpillshop.com/,2020-03-02
Confidence,Source address,Source User,Virtual System,Description,2020-03-02
4,10.1.190.45,jrockensuess,vsys1,Repeatedly visited (323) the same malicious URL deloplen.com/apu.php?zoneid=1590109,2020-03-06
4,10.1.212.115,liwcui,vsys1,Repeatedly visited (106) the same malicious URL foundfax.com/,2020-03-06 00:00:00
